name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,,,,PREDICTED AVERAGE TAKEDOWNS LANDED PER 15 MINUTES,UNIQUE HEIGHTS,UNIQUE WEIGHTS
Khabib Nurmagomedov,The Eagle,29,0,0,177.8,70.31,177.8,Orthodox,9/20/1988,4.1,48,1.75,65,5.32,48,84,0.8,,,,1.23566029,,
Gary Goodridge,Big Daddy,23,22,1,190.5,112.94,,Orthodox,1/17/1966,1.84,56,2.14,48,0.4,100,53,0.8,,,,0.958109952,,
Justin Buchholz,,15,10,0,182.88,70.31,185.42,Orthodox,8/22/1983,2.35,26,4.14,51,0,0,33,0.8,,,,1.02045323,,
Malcolm Gordon,X,14,7,0,170.18,56.7,180.34,Switch,5/19/1990,1.93,42,2.26,42,1.61,30,9,0.8,,,,0.969588694,,
Achmed Labasanov,,7,4,0,190.5,97.52,,Orthodox,4/24/1978,0.75,39,1.1,46,3,100,0,0.8,,,,0.825547637,,
Joseph Gigliotti,Capo,7,2,0,180.34,83.91,,Orthodox,8/13/1993,1.04,39,2.92,45,1.56,100,50,0.8,,,,0.859860154,,
Liang Na,The Dragon Girl,19,7,0,165.1,56.7,170.18,Orthodox,7/27/1996,1.93,40,4.48,27,5.1,60,0,0.8,,,,0.968314987,,
Mike Stumpf,,11,4,0,177.8,77.11,,,,3.34,43,8.85,47,1.59,25,33,0.8,,,,1.139471624,,
Aljamain Sterling,Funk Master,23,4,0,170.18,61.23,180.34,Orthodox,7/31/1989,4.73,52,2.41,58,1.97,24,45,0.8,,,,1.309341583,,
Kevin Randleman,The Monster,17,16,0,177.8,92.99,,Orthodox,8/10/1971,1.26,54,1.12,57,2,56,30,0.8,,,,0.884778238,,
Rory Singer,Outburst,11,9,0,187.96,83.91,195.58,Orthodox,5/28/1976,2.55,39,2.42,63,0.39,25,64,0.8,,,,1.042107021,,
Darrion Caldwell,The Wolf,10,1,0,177.8,61.23,,,,0.85,34,0.57,60,3.41,66,100,0.8,,,,0.834369052,,
Alex Andrade,El Toro,10,5,0,180.34,90.72,,Orthodox,5/14/1974,0.2,36,2.6,53,0,0,25,0.8,,,,0.753419013,,
Antonio Silva,Bigfoot,19,12,1,193.04,119.75,208.28,Orthodox,9/14/1979,2.89,45,3.09,50,0.82,29,66,0.8,,,,1.083405421,,
Nate Marquardt,The Great,35,19,2,182.88,83.91,187.96,Orthodox,4/20/1979,2.71,49,2.32,55,1.87,51,70,0.8,,,,1.061442846,,
Kevin Burns,The Fire,12,7,0,177.8,77.11,187.96,Orthodox,3/3/1980,2.74,38,4.3,52,0.28,50,47,0.8,,,,1.064859169,,
Vinny Magalhaes,Pezao,14,9,0,190.5,92.99,190.5,Orthodox,7/2/1984,2.14,24,3.97,68,1.55,44,66,0.8,,,,0.991613224,,
Frank Trigg,Twinkle Toes,21,9,0,175.26,77.11,180.34,Southpaw,5/7/1972,2.79,46,1.9,56,2.35,47,75,0.8,,,,1.071064176,,
Montana De La Rosa,,12,9,1,170.18,56.7,172.72,Orthodox,2/14/1995,2.7,36,3.21,44,1.71,31,64,0.8,,,,1.059628326,,
Cynthia Calvillo,,9,6,1,162.56,52.16,162.56,Orthodox,7/13/1987,4.41,38,4.12,64,1.8,44,77,0.8,,,,1.268833446,,
Brock Jardine,The Machine,12,6,0,180.34,77.11,,Orthodox,7/10/1985,1.06,30,3.34,56,0,0,14,0.8,,,,0.858513978,,
Cameron Saaiman,MSP,9,1,0,172.72,61.23,170.18,Southpaw,12/20/2000,5.28,46,3.24,55,1,36,44,0.8,,,,1.375037697,,
Cat Zingano,Alpha,10,4,0,167.64,65.77,172.72,Southpaw,7/1/1982,2.57,61,1.63,47,2.77,65,42,0.8,,,,1.043710511,,
Trey Waters,The Truth,8,1,0,195.58,77.11,195.58,Orthodox,2/21/1995,6.45,45,3.95,61,0.78,50,77,0.8,,,,1.517946031,,
Sangwook Kim,Frogman,9,3,0,182.88,70.31,182.88,Orthodox,10/17/1993,5.57,51,7.94,48,1.65,18,66,0.8,,,,1.411145325,,
Efrain Escudero,Hecho En Mexico,28,12,0,175.26,70.31,180.34,Orthodox,1/15/1986,2.92,44,2.3,63,1.31,40,66,0.8,,,,1.086225663,,
John Allan,,13,7,0,185.42,92.99,190.5,Orthodox,2/22/1993,3.56,42,5.74,52,1.4,71,50,0.8,,,,1.164559866,,
Royce Gracie,,15,2,3,185.42,79.38,,Southpaw,12/12/1966,0.88,41,1.13,37,0,0,66,0.8,,,,0.836179233,,
James Head,,9,4,0,185.42,77.11,185.42,Orthodox,2/9/1984,2.75,48,3.11,49,0.41,100,66,0.8,,,,1.065478747,,
Jessica Rakoczy,The Ragin',1,5,0,170.18,52.16,,Orthodox,4/14/1977,2.5,44,3.55,64,0.75,20,0,0.8,,,,1.035085406,,
Kevin Lee,The Motown Phenom,18,8,0,175.26,77.11,195.58,Orthodox,9/4/1992,3.88,42,3.6,50,3.18,43,75,0.8,,,,1.204114927,,
Naoyuki Kotani,,34,14,7,172.72,70.31,167.64,Southpaw,12/8/1981,1.02,31,2.89,50,0.83,16,46,0.8,,,,0.853652838,,
Joseph Holmes,Uglyman Joe,8,4,0,193.04,83.91,203.2,Orthodox,7/4/1995,2.88,53,3.08,54,1.49,40,50,0.8,,,,1.080988176,,
Dashon Johnson,Flyboy,9,2,0,170.18,65.77,,Orthodox,1/25/1988,1.01,69,3.83,35,0.85,33,63,0.8,,,,0.852330549,,
Domingo Pilarte,Son of Fire,8,3,0,182.88,61.23,185.42,Southpaw,1/5/1990,1.31,47,2.96,40,1.2,42,54,0.8,,,,0.888992949,,
Takanori Gomi,The Fireball Kid,35,14,0,170.18,70.31,177.8,Southpaw,9/22/1978,3.81,41,3.52,60,1.23,65,63,0.8,,,,1.194439451,,
TJ Dillashaw,,18,5,0,167.64,61.23,170.18,Orthodox,2/7/1986,5.09,41,3.47,62,1.56,30,77,0.8,,,,1.350872013,,
Denise Gomes,Dee,8,3,0,157.48,52.16,160.02,Orthodox,12/30/1999,4.81,48,3.66,49,1.13,33,47,0.8,,,,1.316490238,,
Derrick Krantz,D-Rock,22,12,0,177.8,77.11,182.88,Orthodox,1/13/1988,2.07,37,4.03,50,3.18,50,0,0.8,,,,0.981746994,,
Mark Vorgeas,,5,3,1,177.8,61.23,,,,3.87,32,4.19,51,0,0,50,0.8,,,,1.201123111,,
Gregor Gillespie,The Gift,14,1,0,170.18,70.31,180.34,Orthodox,11/13/1986,3.74,52,2.3,57,6.86,48,100,0.8,,,,1.185766321,,
Tim Boetsch,The Barbarian,21,13,0,182.88,83.91,187.96,Orthodox,1/28/1981,2.93,50,2.9,57,1.45,34,59,0.8,,,,1.084570662,,
Mike Kyle,MAK,22,14,1,193.04,92.99,195.58,Orthodox,3/31/1980,3.93,51,3.35,49,1.33,62,50,0.8,,,,1.206309088,,
Marion Reneau,The Belizean Bruiser,9,8,1,167.64,61.23,172.72,Orthodox,6/20/1977,3.2,41,3.52,59,0.62,63,50,0.8,,,,1.1173017,,
Justin Haskins,,7,6,0,177.8,77.11,,Orthodox,8/30/1979,1.51,33,2.65,54,1.62,40,52,0.8,,,,0.911512231,,
Kleydson Rodrigues,KR,8,3,0,165.1,61.23,170.18,Orthodox,10/22/1995,5.48,62,2.75,48,0.85,25,63,0.8,,,,1.395268115,,
Jenel Lausa,,7,5,0,165.1,56.7,172.72,Orthodox,8/1/1988,1.44,42,3.53,53,0.55,66,51,0.8,,,,0.902769207,,
Rachael Ostovich,,4,6,0,160.02,56.7,157.48,Orthodox,2/25/1991,2.54,43,3.97,57,2.03,83,66,0.8,,,,1.037118523,,
Zabit Magomedsharipov,,18,1,0,185.42,65.77,185.42,Orthodox,3/1/1991,4.89,48,3,64,5.22,56,77,0.8,,,,1.323512919,,
Kay Hansen,,7,6,0,157.48,52.16,160.02,Orthodox,8/14/1999,3.01,50,3.19,51,1.83,22,37,0.8,,,,1.09251635,,
Jon Fitch,,30,7,1,182.88,77.11,187.96,Orthodox,2/24/1978,2.61,50,1.65,54,3.6,51,56,0.8,,,,1.04374411,,
Felice Herrig,Lil Bulldog,14,10,0,162.56,52.16,165.1,Orthodox,9/18/1984,3.84,37,5.19,48,1.08,28,75,0.8,,,,1.192087035,,
Joey Gambino,The Raging Warrior,9,2,0,170.18,65.77,,Orthodox,10/26/1988,2.47,35,2.53,51,0,0,42,0.8,,,,1.025985045,,
Kyung Ho Kang,Mr. Perfect,19,10,0,175.26,61.23,185.42,Orthodox,9/9/1987,3.35,48,3.33,55,1.87,57,68,0.8,,,,1.133040073,,
Benson Henderson,Smooth,24,7,0,175.26,77.11,177.8,Southpaw,11/16/1983,2.93,45,1.79,63,2.4,45,63,0.8,,,,1.081842999,,
Alexander Otsuka,The Diet Butcher,5,13,0,185.42,92.99,,Orthodox,7/17/1971,0.9,55,1.16,51,1.51,43,53,0.8,,,,0.835387682,,
Chris Weidman,The All-American,15,7,0,187.96,83.91,198.12,Orthodox,6/17/1984,2.98,43,3.27,50,3.6,43,65,0.8,,,,1.087285411,,
Bryan Caraway,Kid Lightning,21,9,0,172.72,61.23,172.72,Orthodox,8/4/1984,2.53,34,3.61,54,2.57,25,80,0.8,,,,1.031908706,,
Amanda Ribas,,12,4,0,160.02,52.16,167.64,Orthodox,8/26/1993,4.92,42,3.33,63,1.99,51,87,0.8,,,,1.320971357,,
Reginaldo Vieira,,13,5,0,170.18,61.23,165.1,Orthodox,11/26/1982,3.76,40,2.89,59,1.97,27,25,0.8,,,,1.18006587,,
Tamires Vidal,Tractor,7,2,0,167.64,61.23,172.72,Orthodox,7/27/1998,4.25,55,4.53,58,0,0,40,0.8,,,,1.23898641,,
Antonio Carlos Junior,Cara de Sapato,11,5,0,187.96,83.91,200.66,Orthodox,3/16/1990,1.95,42,2.14,52,3.42,39,53,0.8,,,,0.961095688,,
Craig White,The Thundercat,14,9,0,187.96,77.11,193.04,Orthodox,7/1/1990,1.23,40,3.28,39,0,0,50,0.8,,,,0.873008458,,
Urijah Faber,The California Kid,35,11,0,167.64,61.23,170.18,Orthodox,5/14/1979,2.65,40,2.59,64,1.54,30,58,0.8,,,,1.045376269,,
Fabio Nascimento,Negao,11,6,0,177.8,83.91,,Orthodox,,2.94,38,4.63,55,0,0,55,0.8,,,,1.080341763,,
Frank Gomez,,10,6,0,177.8,61.23,170.18,Orthodox,3/31/1986,1.52,48,0.79,66,1.14,60,70,0.8,,,,0.908659865,,
Chad Anheliger,The Monster,12,7,0,167.64,61.23,162.56,Orthodox,12/1/1986,3.07,42,3.55,51,1.03,36,47,0.8,,,,1.096392835,,
Diego Sanchez,Nightmare,31,13,0,177.8,77.11,182.88,Southpaw,12/31/1981,2.69,37,3.02,56,1.51,24,46,0.8,,,,1.050368611,,
Chris Leben,The Crippler,22,11,0,180.34,83.91,185.42,Southpaw,7/21/1980,2.87,42,2.87,52,1.14,41,53,0.8,,,,1.072029991,,
Julianna Pena,The Venezuelan Vixen,12,5,0,167.64,61.23,175.26,Orthodox,8/19/1989,3.16,47,2.3,50,1.94,55,23,0.8,,,,1.10714564,,
Katsunori Kikuno,,24,8,2,172.72,65.77,167.64,Orthodox,10/31/1981,2.64,40,2.47,61,1.88,75,76,0.8,,,,1.043863747,,
Wellington Turman,The Prodigy,18,8,0,182.88,77.11,182.88,Orthodox,7/22/1996,3.23,51,4.17,45,1.55,20,42,0.8,,,,1.115049276,,
Kyle Noke,,22,10,1,185.42,77.11,193.04,Southpaw,3/18/1980,3.23,50,2.09,64,1.53,54,66,0.8,,,,1.114890425,,
Kanako Murata,,12,3,0,154.94,52.16,157.48,Orthodox,8/10/1993,2.15,56,2.4,53,3.38,56,100,0.8,,,,0.98399101,,
Alistair Overeem,The Demolition Man,47,19,0,193.04,120.2,203.2,Orthodox,5/17/1980,3.67,64,2.44,57,1.42,55,73,0.8,,,,1.167297501,,
John Teixeira,Macapa,21,2,2,170.18,65.77,,Orthodox,11/18/1986,3.36,35,3.2,63,1,27,71,0.7,,,,1.129652225,,
Tony Sims,,12,4,0,180.34,70.31,177.8,Southpaw,10/14/1985,1.81,63,0.76,65,0.71,50,50,0.7,,,,0.942004191,,
Renato Moicano,,17,5,1,180.34,70.31,182.88,Orthodox,5/21/1989,4.75,47,4.07,60,1.66,46,74,0.7,,,,1.29807502,,
Khama Worthy,The Death Star,16,9,0,180.34,70.31,187.96,Orthodox,10/15/1986,4.18,48,4.45,46,0,0,57,0.7,,,,1.228836572,,
Jack Shore,Tank,17,1,0,172.72,61.23,180.34,Orthodox,2/6/1995,3.84,58,2.2,57,3.42,40,79,0.7,,,,1.188296599,,
Felipe Arantes,Sertanejo,18,10,1,172.72,61.23,185.42,Orthodox,2/9/1988,2.37,45,2.66,64,0.93,47,41,0.7,,,,1.009461599,,
Claudia Gadelha,Claudinha,18,5,0,162.56,52.16,160.02,Orthodox,12/7/1988,3.31,41,4.57,57,3.03,42,58,0.7,,,,1.123184832,,
Joaquim Silva,Netto BJJ,13,5,0,172.72,70.31,175.26,Southpaw,2/5/1989,3.61,41,4.51,54,0.45,60,64,0.7,,,,1.158718388,,
Daiki Hata,DJ Taiki,17,11,7,167.64,63.05,,Orthodox,8/24/1982,1.44,39,1.42,55,0.67,100,35,0.7,,,,0.896673589,,
George Sullivan,The Silencer,17,7,0,182.88,77.11,185.42,Orthodox,3/13/1981,3.53,39,2.42,57,1.37,20,38,0.7,,,,1.149399908,,
Ramazan Emeev,Gorets,20,6,0,177.8,77.11,193.04,Southpaw,5/23/1987,2.53,45,2.14,65,2.37,29,66,0.7,,,,1.028447679,,
Mitsuhiro Ishida,The Endless Warrior,20,8,1,167.64,69.85,,Southpaw,12/29/1978,1.46,41,1.13,61,4.76,53,33,0.7,,,,0.898704194,,
Yair Rodriguez,El Pantera,16,4,0,180.34,65.77,180.34,Orthodox,10/6/1992,4.63,46,4.07,51,0.73,28,59,0.7,,,,1.281141347,,
Scott Jorgensen,Young Guns,15,12,0,165.1,61.23,167.64,Orthodox,9/17/1982,3.37,40,3.41,65,2.61,45,59,0.7,,,,1.128797524,,
Casey O'Neill,King,9,1,0,167.64,56.7,175.26,Orthodox,10/7/1997,8.77,55,5.9,58,1.96,42,71,0.7,,,,1.782165054,,
Ian Freeman,The Machine,20,7,1,180.34,102.06,,Orthodox,11/10/1966,2.54,48,3.11,44,1.44,40,80,0.7,,,,1.027648033,,
Diego Saraiva,The Octopus,22,20,1,167.64,70.31,,Orthodox,4/23/1982,1.64,32,3.58,62,1.33,40,0,0.7,,,,0.918600318,,
Alexis Davis,,21,11,0,167.64,61.23,172.72,Orthodox,10/4/1984,4.63,49,4.45,54,0.95,44,34,0.7,,,,1.280356738,,
Brian Camozzi,Mantis,7,5,0,187.96,77.11,198.12,Orthodox,6/24/1991,3.15,26,6.39,54,0,0,0,0.7,,,,1.101363237,,
Lucie Pudilova,,14,9,0,172.72,61.23,170.18,Orthodox,6/13/1994,3.68,37,3.83,51,0.55,27,66,0.7,,,,1.165967574,,
Ricardo Ramos,,16,5,0,175.26,65.77,182.88,Orthodox,8/1/1995,3.21,37,3.78,57,2.79,59,72,0.7,,,,1.109270159,,
Matt Mitrione,,12,5,0,190.5,120.2,208.28,Switch,7/15/1978,3.55,50,2.79,64,0,0,55,0.7,,,,1.149830977,,
Joe Duffy,Irish,16,5,0,177.8,70.31,185.42,Orthodox,2/18/1988,2.68,34,3.78,54,0.96,66,64,0.7,,,,1.044861549,,
Anderson Dos Santos,Berinja,21,9,0,165.1,61.23,177.8,Orthodox,7/24/1985,2.7,25,5.37,49,0.98,14,66,0.7,,,,1.04731335,,
Milton Vieira,Miltinho,13,8,2,182.88,65.77,,Orthodox,10/4/1978,1.13,35,2.36,48,2.67,53,12,0.7,,,,0.857046498,,
David Kaplan,Diamond,3,4,0,170.18,70.31,,Orthodox,11/16/1979,2.88,46,4.32,67,4.88,43,0,0.7,,,,1.068643676,,
Amanda Nunes,The Lioness,23,5,0,172.72,61.23,175.26,Orthodox,5/30/1988,4.55,51,2.62,57,2.73,54,82,0.7,,,,1.269832123,,
Robert Sanchez,Littlefury,8,2,0,167.64,56.7,167.64,Orthodox,3/5/1986,0.96,40,1.78,46,3.61,62,50,0.7,,,,0.834418927,,
Rich Franklin,Ace,29,7,0,185.42,83.91,193.04,Southpaw,10/5/1974,4.1,44,2.07,62,1.31,66,63,0.7,,,,1.214015572,,
Manvel Gamburyan,The Anvil,15,10,0,165.1,61.23,170.18,Orthodox,5/8/1981,2.13,41,2.83,55,3.26,34,69,0.7,,,,0.975010492,,
Don Madge,Magic Man,9,3,1,182.88,70.31,182.88,Southpaw,11/12/1990,2.08,52,0.74,67,2.22,25,80,0.7,,,,0.96819214,,
Brad Scott,Bear,11,6,0,185.42,77.11,193.04,Orthodox,6/24/1989,3.52,41,4.31,57,0.32,15,63,0.7,,,,1.142554313,,
Mandy Bohm,Monster,8,2,0,170.18,56.7,180.34,Orthodox,7/30/1989,2.51,45,3.24,60,0.72,18,75,0.7,,,,1.020239884,,
Michelle Waterson-Gomez,The Karate Hottie,18,12,0,160.02,52.16,157.48,Orthodox,1/6/1986,3.56,46,4.19,49,1.42,32,70,0.7,,,,1.147847914,,
Rafael Estevam,Macapa,12,0,0,172.72,56.7,175.26,Orthodox,8/10/1996,2.94,64,3.35,34,3.35,19,0,0.7,,,,1.072456263,,
Matt Sayles,,8,4,0,170.18,70.31,172.72,Orthodox,2/21/1994,4.83,41,2.81,61,0.36,16,81,0.7,,,,1.300993094,,
Mauricio Rua,Shogun,27,14,1,185.42,92.99,193.04,Orthodox,11/25/1981,3.57,50,2.79,54,2.01,48,49,0.7,,,,1.148604662,,
Steven Peterson,Ocho,19,11,0,177.8,65.77,177.8,Orthodox,5/29/1990,4.76,40,5.94,53,1.42,26,64,0.7,,,,1.29273724,,
Amir Albazi,The Prince,17,1,0,165.1,56.7,172.72,Orthodox,10/27/1993,2.8,39,3.07,63,1.71,33,40,0.7,,,,1.05469962,,
Niklas Stolze,Green Mask,12,6,0,185.42,70.31,187.96,Switch,12/28/1992,2.12,48,2.25,49,0.66,100,55,0.7,,,,0.971939611,,
Darren Uyenoyama,BC,10,6,0,167.64,56.7,165.1,Orthodox,10/15/1979,1.34,39,2.21,66,1.42,33,35,0.7,,,,0.87736849,,
Drew McFedries,The Massacre,12,7,0,182.88,83.91,182.88,Southpaw,7/27/1978,5.13,51,4.56,52,1.42,100,56,0.7,,,,1.337323462,,
Niko Price,The Hybrid,15,7,0,182.88,77.11,193.04,Orthodox,9/29/1989,5.46,42,5.6,48,0.7,20,64,0.7,,,,1.377316217,,
Marcio Alexandre Junior,Lyoto,17,4,0,182.88,83.91,190.5,Southpaw,5/5/1989,1.61,45,2.89,42,0.35,20,66,0.7,,,,0.910019832,,
Olaf Alfonso,,8,12,0,187.96,77.11,,Orthodox,8/6/1974,1.65,38,4.77,53,0.37,7,22,0.7,,,,0.915087679,,
Alex Caceres,Bruce Leeroy,21,14,0,177.8,65.77,185.42,Southpaw,6/20/1988,4.16,50,2.93,63,0.56,68,64,0.7,,,,1.220220202,,
Trevor Smith,Hot Sauce,15,10,0,190.5,83.91,190.5,Orthodox,1/5/1981,3.29,55,3.31,51,1.7,32,60,0.7,,,,1.114812433,,
Daniel Sarafian,,10,6,0,175.26,83.91,185.42,Orthodox,8/21/1982,2.23,46,3.1,58,0.36,7,53,0.7,,,,0.985765722,,
Heath Herring,The Texas Crazy Horse,28,16,0,193.04,113.4,198.12,Orthodox,3/2/1978,2.37,50,1.77,54,1.22,50,32,0.7,,,,1.002983927,,
Viviane Araujo,Vivi,12,5,0,162.56,56.7,172.72,Orthodox,11/21/1986,4.34,47,5.19,55,1.83,46,77,0.7,,,,1.242318166,,
Dustin Stoltzfus,,15,5,0,182.88,83.91,190.5,Orthodox,11/15/1991,3.49,44,3.29,48,2.4,40,46,0.7,,,,1.138743897,,
Francis Marshall,Fire,7,2,0,175.26,65.77,182.88,Orthodox,3/3/1999,3.66,33,4.07,53,3.29,50,0,0.7,,,,1.158858747,,
Phillipe Nover,The Filipino Assassin,11,8,1,175.26,65.77,182.88,Orthodox,2/3/1984,1.79,35,2.48,56,0.99,28,44,0.7,,,,0.931360866,,
Chris Heatherly,Stump,9,4,0,175.26,70.31,,Orthodox,11/24/1987,1.08,45,2.67,52,3.39,50,100,0.7,,,,0.845315018,,
Rodrigo Nascimento,Ze Colmeia,11,1,0,187.96,111.58,203.2,Orthodox,11/26/1992,4.31,48,4.76,43,1.2,33,77,0.7,,,,1.236296316,,
Brandon Thatch,Rukus,11,5,0,187.96,77.11,187.96,Switch,7/11/1985,2.7,42,3.63,52,1.36,66,50,0.7,,,,1.040852197,,
William Gomis,Jaguar,13,2,0,182.88,65.77,185.42,Southpaw,6/13/1997,2.62,46,1.49,75,1.06,60,81,0.7,,,,1.031034299,,
Mike Russow,,15,3,0,185.42,115.67,185.42,Orthodox,9/11/1976,1.55,47,2.9,59,4.66,43,0,0.7,,,,0.901126801,,
Buddy Roberts,,12,3,0,187.96,83.91,,Orthodox,10/17/1982,2.17,34,2.08,70,0,0,76,0.7,,,,0.975114679,,
Drako Rodriguez,,7,3,0,172.72,61.23,175.26,Orthodox,6/16/1996,3.37,36,4.4,58,2.93,66,75,0.7,,,,1.121371558,,
Vinicius Queiroz,Spartan,8,4,0,200.66,99.79,,Orthodox,8/29/1983,3.67,51,4.1,41,5.07,70,100,0.7,,,,1.157110169,,
Tereza Bleda,,7,1,0,175.26,56.7,180.34,Orthodox,11/30/2001,3.02,53,1.86,46,1.81,27,83,0.7,,,,1.076651775,,
Forrest Griffin,,19,7,0,190.5,92.99,195.58,Orthodox,3/16/1979,4.38,36,2.81,61,1.05,48,57,0.7,,,,1.241099546,,
Don Frye,The Predator,20,9,1,185.42,99.34,,Orthodox,11/23/1965,2.87,64,3.57,37,0.91,57,45,0.7,,,,1.058301582,,
Junior Assuncao,,16,6,0,175.26,65.77,182.88,Orthodox,6/24/1981,3.31,62,2.06,44,2.43,24,66,0.7,,,,1.111653561,,
Reuben Duran,,11,7,1,170.18,61.23,180.34,Orthodox,7/2/1983,3.19,49,2.61,50,0.98,23,25,0.7,,,,1.096620165,,
Gray Maynard,,13,7,1,175.26,70.31,177.8,Orthodox,5/9/1979,1.92,32,2.64,66,2.91,47,81,0.7,,,,0.942915315,,
James Vick,The Texecutioner,13,5,0,190.5,70.31,193.04,Orthodox,2/23/1987,4.13,39,3.31,60,0.26,33,57,0.7,,,,1.209935239,,
Brian Kelleher,Boom,24,14,0,167.64,61.23,167.64,Switch,8/19/1986,3.36,41,4.61,54,1.79,42,60,0.7,,,,1.117086812,,
Diego Ferreira,,18,5,0,175.26,70.31,187.96,Orthodox,1/18/1985,4.66,37,3.42,56,0.71,22,63,0.7,,,,1.274383424,,
Alex Stiebling,The Brazilian Killa,19,11,1,187.96,92.99,,Southpaw,,1.77,42,1.45,52,0.35,66,66,0.7,,,,0.924242429,,
Scott Askham,,14,4,0,190.5,83.91,190.5,Southpaw,5/20/1988,3.03,46,3.52,52,0.44,18,65,0.7,,,,1.077240088,,
Kalindra Faria,,18,8,1,170.18,56.7,,Switch,7/23/1986,2.23,56,1.44,45,1.31,66,20,0.7,,,,0.980432227,,
Keith Jardine,The Dean of Mean,17,11,2,187.96,83.91,193.04,Orthodox,10/31/1975,3.25,36,2.98,59,1.18,45,62,0.7,,,,1.104046265,,
David Michaud,BullDawg,11,3,0,175.26,70.31,,Orthodox,11/10/1988,3.25,43,4.45,54,2.53,58,77,0.7,,,,1.104017537,,
Luana Carolina,Dread,9,4,0,167.64,56.7,175.26,Orthodox,6/11/1993,4.65,50,4,47,0.15,25,76,0.7,,,,1.273167431,,
Travis Lutter,The Serial Killer,10,6,0,180.34,83.91,190.5,Orthodox,5/12/1973,0.41,32,2.42,42,1.95,24,30,0.7,,,,0.759261844,,
Anthony Smith,Lionheart,37,18,0,193.04,92.99,193.04,Orthodox,7/26/1988,3.16,48,4.45,46,0.52,28,48,0.7,,,,1.092809653,,
John Polakowski,Buckets of Blood,2,2,0,177.8,70.31,,Orthodox,6/21/1981,2.6,26,2.83,50,0,0,87,0.7,,,,1.024932987,,
Vicente Luque,The Silent Assassin,22,9,1,180.34,77.11,190.5,Orthodox,11/27/1991,5.17,52,5.15,52,1.04,60,62,0.7,,,,1.337782816,,
David Baron,,17,4,1,167.64,70.31,,Switch,2/15/1973,1.17,30,2.1,56,0,0,14,0.7,,,,0.851410365,,
Ricardo Abreu,Demente,5,1,0,180.34,83.91,,Orthodox,4/27/1984,3.79,31,3.98,68,2.13,42,100,0.7,,,,1.170330487,,
DaMarques Johnson,Darkness,15,15,0,185.42,77.11,190.5,Orthodox,6/28/1982,2.11,37,3.75,51,1.18,55,19,0.7,,,,0.965783092,,
Darrell Horcher,The Saint,13,4,0,177.8,70.31,177.8,Southpaw,7/28/1987,2.05,44,4.21,39,0.35,50,47,0.7,,,,0.958421781,,
Kyle Nelson,The Monster,15,5,1,180.34,65.77,180.34,Switch,4/20/1991,3.46,44,4.56,52,1.15,20,73,0.7,,,,1.129911079,,
Damien Brown,Beatdown,17,12,0,177.8,70.31,172.72,Orthodox,12/25/1984,3.66,38,4.86,50,0.68,27,53,0.7,,,,1.154198161,,
Tim Kennedy,,18,6,0,180.34,83.91,187.96,Orthodox,9/1/1979,2.78,47,1.84,62,2.58,35,70,0.7,,,,1.047470852,,
Gustavo Lopez,,12,6,1,165.1,61.23,170.18,Orthodox,6/27/1989,2.48,40,3.87,57,1.74,41,31,0.7,,,,1.010507801,,
Yoshiro Maeda,,35,16,5,170.18,63.05,172.72,Southpaw,10/31/1981,2.36,33,2.55,63,2.93,51,50,0.7,,,,0.995690521,,
Kenji Osawa,,20,11,2,170.18,61.23,167.64,Orthodox,11/4/1976,2.34,35,2.14,63,0.91,58,68,0.7,,,,0.99262375,,
Yves Edwards,,42,22,1,175.26,70.31,185.42,Southpaw,9/30/1976,2.91,42,2.34,66,0.76,53,69,0.7,,,,1.061894245,,
Maryna Moroz,Iron Lady,11,5,0,170.18,56.7,170.18,Orthodox,9/8/1991,4.15,31,4.42,53,0.67,22,45,0.7,,,,1.212647163,,
Thiago Silva,,19,6,0,187.96,92.99,187.96,Orthodox,11/12/1982,3.92,50,2.55,67,1.03,47,70,0.7,,,,1.184985559,,
Brad Blackburn,Bad Brad,18,13,1,177.8,77.11,185.42,Orthodox,5/25/1977,4.55,35,3.59,65,0.93,50,76,0.7,,,,1.261653946,,
Yancy Medeiros,,15,8,0,177.8,70.31,190.5,Orthodox,9/7/1987,4.36,37,5.67,47,0.33,50,73,0.7,,,,1.238763479,,
Jameel Massouh,,26,9,0,177.8,65.77,182.88,Orthodox,9/12/1984,1.91,54,2.62,55,0.67,15,50,0.7,,,,0.941019503,,
Ian Heinisch,The Hurricane,14,5,0,180.34,83.91,182.88,Orthodox,8/5/1988,3.25,50,2.98,59,1.02,17,59,0.7,,,,1.104248386,,
Katsuyori Shibata,,4,11,1,182.88,76.2,,Orthodox,11/17/1979,2.06,35,2.4,53,0.49,50,53,0.7,,,,0.959401036,,
Steve Cantwell,The Robot,7,6,0,187.96,83.91,190.5,Orthodox,12/8/1986,3.63,34,5.76,55,0.65,30,80,0.7,,,,1.15068558,,
Vanessa Demopoulos,Lil Monster,10,5,0,157.48,52.16,149.86,Orthodox,9/22/1988,3.44,43,5.06,43,0.49,13,30,0.7,,,,1.127766681,,
Jeff Monson,The Snowman,60,26,1,175.26,112.04,187.96,Orthodox,1/18/1971,0.97,30,2.87,59,1.06,12,66,0.7,,,,0.827113573,,
